10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.542,72;;129,2;;137,53;;167,9;;284,98;;919,14;;543,01;;360,96;
Nivel de estudios desconocido y no consta;0,1%;3.467;0,2%;303;0,2%;26;0,2%;50;0,1%;30;0,2%;116;0,1%;21;0,0%;0;0,1%;60
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;7,7%;301;;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;48,5%;146;;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;51,5%;155;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,3%;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;20,6%;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,7%;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;71,3%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,6%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;44,0%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;23,8%;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;9,7%;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,3%;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;36,4%;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;43,5%;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;23,3%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;5,9%;13.886;;;;;;;;;;;;;;
Hombres;48,1%;86.609;48,4%;6.722;;;;;;;;;;;;;;
Mujeres;51,9%;93.431;51,6%;7.164;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;106,6;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;64,5;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;66,4;;;;;;;;;;;;;;
Convivencia vecinal;;67,8;;43,2;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;7,4;;;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,8;;;;;;;;;;;;;;
Centros culturales;;6,9;;6,5;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;7,1;;;;;;;;;;;;;;
